JJ PPM DIFF DIDD
1976.8893 330.55 0.28000000000003 1330.54
1976.9085 330.68 0.78000000000003 1330.67
1976.9276 331.19 1331.18 1331.18
1976.9467 332.39 1332.38 1332.38
1976.9658 331.70 1331.69 1331.69
1976.9850 332.39 1332.38 1332.38
1977.0041 332.29 0.900000000000034 1332.28
1977.0233 332.49 0.970000000000027 1332.48
1977.0425 332.88 1.17000000000002 1332.87
1977.0616 332.98 1.18000000000001 1332.97
1977.0808 332.93 0.579999999999984 1332.92
1977.1000 333.21 0.829999999999984 1333.2
1977.1192 333.15 0.449999999999989 1333.14
1977.1384 333.09 -0.330000000000041 1333.08
1977.1575 334.34 1.78999999999996 1334.33
1977.1767 334.27 1.33999999999997 1334.26
1977.1959 335.18 1.59000000000003 1335.17
1977.2151 335.32 1.63 1335.31
1977.2342 335.16 0.520000000000039 1335.15
1977.2534 335.96 0.899999999999977 1335.95
1977.2726 335.85 1.83000000000004 1335.84
1977.2918 336.30 1.79000000000002 1336.29
1977.3110 336.58 1.69999999999999 1336.57
1977.3301 337.00 2.50999999999999 1336.99
1977.3493 336.58 2.34999999999997 1336.57
1977.3685 337.14 2.16999999999996 1337.13
1977.3877 336.97 1.60000000000002 1336.96
1977.4068 336.63 2.13 1336.62
1977.4260 336.12 1.94999999999999 1336.11
1977.4452 336.01 1.76999999999998 1336
1977.4644 336.34 2.31999999999999 1336.33
1977.4836 335.74 1335.73 1335.73
1977.5027 335.46 1.69 1335.45
1977.5219 335.23 1.85000000000002 1335.22
1977.5411 334.59 2.09999999999997 1334.58
1977.5603 334.09 1.82999999999998 1334.08
1977.5795 333.42 1.60000000000002 1333.41
1977.5986 332.54 1.59000000000003 1332.53
1977.6178 332.84 2.47999999999996 1332.83
1977.6370 331.82 1.58999999999997 1331.81
1977.6562 332.25 1.81999999999999 1332.24
1977.6753 331.18 1.63999999999999 1331.17
1977.6945 331.49 1.94999999999999 1331.48
1977.7137 330.94 2.25999999999999 1330.93
1977.7329 330.92 3.16000000000003 1330.91
1977.7521 330.93 2.28000000000003 1330.92
1977.7712 331.54 3 1331.53
1977.7904 331.27 2 1331.26
1977.8096 331.36 2.52000000000004 1331.35
1977.8288 331.87 2.55000000000001 1331.86
1977.8479 332.08 1.44999999999999 1332.07
1977.8671 332.53 2.41999999999996 1332.52
1977.8863 332.92 2.42000000000002 1332.91
1977.9055 332.65 1.92999999999995 1332.64
1977.9247 333.34 2.46999999999997 1333.33
1977.9438 333.40 1.29999999999995 1333.39
1977.9630 334.03 2.38 1334.02
1977.9822 333.99 1.62 1333.98
1978.0014 334.66 2.34000000000003 1334.65
1978.0205 334.56 2.11000000000001 1334.55
1978.0397 334.94 2.20999999999998 1334.93
1978.0589 335.68 2.69999999999999 1335.67
1978.0781 335.23 2.20000000000005 1335.22
1978.0973 334.74 1.53000000000003 1334.73
1978.1164 335.27 2.07999999999998 1335.26
1978.1356 335.50 2.44 1335.49
1978.1548 335.95 1.96999999999997 1335.94
1978.1740 336.06 1.73000000000002 1336.05
1978.1932 336.73 1.58000000000004 1336.72
1978.2123 336.91 1.51000000000005 1336.9
1978.2315 337.29 2.28000000000003 1337.28
1978.2507 337.33 1.37 1337.32
1978.2699 338.00 2.45999999999998 1337.99
1978.2890 337.62 1.30000000000001 1337.61
1978.3082 337.87 1.44 1337.86
1978.3274 338.27 0.979999999999961 1338.26
1978.3466 338.04 1.49000000000001 1338.03
1978.3658 337.89 0.740000000000009 1337.88
1978.3849 337.79 0.819999999999993 1337.78
1978.4041 338.44 1.71999999999997 1338.43
1978.4233 338.46 2.33999999999997 1338.45
1978.4425 338.12 2 1338.11
1978.4616 337.62 1.28000000000003 1337.61
1978.4808 337.47 1.69000000000005 1337.46
1978.5000 336.55 1.09000000000003 1336.54
1978.5192 336.79 1.52000000000004 1336.78
1978.5384 336.34 1.51999999999998 1336.33
1978.5575 335.74 1.57999999999998 1335.73
1978.5767 335.43 1.79000000000002 1335.42
1978.5959 334.64 2.06 1334.63
1978.6151 334.69 1.85000000000002 1334.68
1978.6342 334.21 2.38999999999999 1334.2
1978.6534 333.78 1.52999999999997 1333.77
1978.6726 332.81 1.63 1332.8
1978.6918 331.86 0.420000000000016 1331.85
1978.7110 331.75 0.810000000000002 1331.74
1978.7301 332.81 1.76999999999998 1332.8
1978.7493 332.21 1.25 1332.2
1978.7685 331.85 0.430000000000007 1331.84
1978.7877 332.66 1.34000000000003 1332.65
1978.8068 332.77 1.5 1332.76
1978.8260 333.22 1.40000000000003 1333.21
1978.8452 333.57 1.52999999999997 1333.56
1978.8644 333.60 1.13 1333.59
1978.8836 334.12 1.24000000000001 1334.11
1978.9027 334.10 1.44 1334.09
1978.9219 334.46 1.26999999999998 1334.45
1978.9411 334.96 1.38999999999999 1334.95
1978.9603 335.20 1.32999999999998 1335.19
1978.9795 335.07 1.00999999999999 1335.06
